year,title,character,classification,actor
2005,Imagine Me & You,Rachel,Bisexual,Piper Perabo
2005,Imagine Me & You,Luce,Lesbian,Lena Headey
1978,In a Year of 13 Moons,Elvira Weishaupt,Trans woman,Volker Spengler
1997,In and Out,Howard Brackett,Gay,Kevin Kline
1997,In and Out,Peter Malloy,Gay,Tom Selleck
2006,Infamous,Truman Capote,Gay,Toby Jones
1994,Interview with the Vampire,Louis de Pointe du Lac,Bisexual,Brad Pitt
2011,J. Edgar,J. Edgar Hoover,Gay,Leonardo DiCaprio
2012,Jack & Diane,Diane,Lesbian,Juno Temple
2012,Jack & Diane,Jack,Lesbian,Riley Keough
1995,Jefferson in Paris,Richard Cosway,Gay,Simon Callow
1995,Jeffrey,Darius,Gay,Bryan Batt
1995,Jeffrey,Jeffrey,Gay,Steven Weber
1995,Jeffrey,Sterling,Gay,Patrick Stewart
1995,Jeffrey,Steve Howard,Gay,Michael T. Weiss
2009,Jennifer's Body,"Anita ""Needy"" Lesnicki",Bisexual,Amanda Seyfried
2009,Jennifer's Body,Jennifer Check,Bisexual,Megan Fox
1991,JFK,Willie O'Keefe,Gay,Kevin Bacon
1996,Johns,Donner,Gay,Lukas Haas
2011,Just Go With It,Ian Maxtone-Jones,Gay,Dave Matthews
2010,Kaboom,Hunter,Bisexual,Jason Olive
2010,Kaboom,Rex,Bisexual,Andy Fischer-Price
2010,Kaboom,Smith,Bisexual,Thomas Dekker
2010,Kaboom,Oliver,Gay,Brennan Mejia
2010,Kaboom,Lorelei,Lesbian,Roxane Mesquida
2010,Kaboom,Stella,Lesbian,Haley Bennett
2013,Kick-Ass 2,Insect-Man,Gay,Robert Emms
2013,Kill Your Darlings,Allen Ginsberg,Bisexual,Daniel Radcliffe
2013,Kill Your Darlings,Lucien Carr,Gay,Dane DeHaan
2016,King Cobra,Brent Corrigan,Gay,Garrett Clayton
2016,King Cobra,Bryan Kocis,Gay,Christian Slater
2016,King Cobra,Harlow Cuadra,Gay,Keegan Allen
2016,King Cobra,Joe Kerekes,Gay,James Franco
2016,King Cobra,Mikey,Gay,Spencer Lofranco
2005,Kiss Kiss Bang Bang,"Perry Van Shrike/""Gay Perry""",Gay,Val Kilmer
1985,Kiss of the Spider Woman,Luis Molina,Gay,William Hurt
2001,Kissing Jessica Stein,Helen Cooper,Bisexual,Heather Juergensen
2001,Kissing Jessica Stein,Martin,Gay,Michael Mastro
2001,Kissing Jessica Stein,Sebastian,Gay,Carson Elrod
1976,L'Alpagueur,"Gilbert (""L'Epervier"")",Gay,Bruno Cremer
1944,Lady in the Dark,Russell Paxton,Gay,Mischa Auer
2003,Latter Days,Aaron Davis,Gay,Steve Sandvoss
2003,Latter Days,Christian Markelli,Gay,Wes Ramsey
2012,Laurence Anyways,Laurence Alia,Trans woman,Melvil Poupaud
2015,Legend,Ronnie Kray,Gay,Tom Hardy
2015,Legend,Teddy Smith,Gay,Taron Egerton
1987,Less Than Zero,Clay Easton,Bisexual,Andrew McCarthy
2006,Let's Go to Prison,Barry,Gay,Chi McBride
2006,Let's Go to Prison,Nelson Biederman IV,Gay,Will Arnett
1979,Life of Brian,Loretta,Trans woman,Eric Idle
2014,Life Partners,Sasha Weiss,Lesbian,Leighton Meester
2006,Little Miss Sunshine,Frank Ginsberg,Gay,Steve Carell
2001,Lost and Delirious,"Victoria ""Tori"" Moller",Lesbian,Jessica Par_
2001,Lost and Delirious,Pauline Oster,Lesbian/Pansexual,Piper Perabo
2018,"Love, Simon",Cal Price,Bisexual,Miles Heizer
2018,"Love, Simon",Bram Greenfeld,Gay,Keiynan Lonsdale
2018,"Love, Simon",Simon Spier,Gay,Nick Robinson
2006,Loving Annabelle,Annabelle Tillman,Lesbian,Erin Kelly
1997,Ma Vie en Rose,Ludo Fabre,Trans woman,Georges Du Fresne
1999,Magnolia,Quiz Kid Donnie Smith,Gay,William H. Macy
2008,Mamma Mia!,Harry Bright,Gay,Colin Firth
1987,Mannequin,Hollywood Montrose,Gay,Meshach Taylor
1991,Mannequin Two: On the Move,Hollywood Montrose,Gay,Meshach Taylor
1987,Maurice,Alec Scudder,Gay,Rupert Graves
1987,Maurice,Clive Durham,Gay,Hugh Grant
1987,Maurice,Maurice Hall,Gay,James Wilby
2002,May,May Dove Canady,Bisexual,Angela Bettis
2002,May,Ambrosia,Lesbian,Nichole Hiltz
2002,May,Polly,Lesbian,Anna Faris
2002,May,Polly,Lesbian,Anna Faris
2004,Mean Girls,Damian,Gay,Daniel Franzese
1969,Midnight Cowboy,Joe Buck,Bisexual,Jon Voight
1978,Midnight Express,Erich,Gay,Norbert Weisser
1997,Midnight in the Garden of Good and Evil,The Lady Chablis,Trans woman,The Lady Chablis
2008,Milk,Harvey Milk,Gay,Sean Penn
1990,Miller's Crossing,Bernie Bernbaum,Gay,John Turturro
1990,Miller's Crossing,Eddie Dane,Gay,J.E. Freeman
1990,Miller's Crossing,Mink Larouie,Gay,Steve Buscemi
2016,Moonlight,Kevin Jones,Bisexual,Andr_ Holland
2016,Moonlight,"Chiron Harris (""Little""/""Black"")",Gay,"Trevante Rhodes, Ashton Sanders, Alex Hibbart"
2015,Most Likely To Die,Jade,Lesbian,Tess Christiansen
2001,Mulholland Drive,Rita,Bisexual,Laura Elena Harring
2001,Mulholland Drive,Betty Elms,Lesbian,Naomi Watts
1985,My Beautiful Laundrette,Johnny,Gay,Daniel Day-Lewis
1985,My Beautiful Laundrette,Omar Ali,Gay,Gordon Warnecke
1997,My Best Friend's Wedding,George Downes,Gay,Rupert Everett
1991,My Own Private Idaho,Mike Waters,Gay,River Phoenix
1970,Myra Breckinridge,"Irving ""Blaggot"" Amadeus",Gay,Calvin Lockhart
1970,Myra Breckinridge,Myra Breckinridge,Trans woman,Raquel Welch
2004,Mysterious Skin,Neil McCormick,Gay,Joseph Gordon-Levitt
2016,Neighbors 2: Sorority Rising,Pete Regazolli,Gay,Dave Franco
2003,Normal,Roy / Ruth Applewood,Trans woman,Tom Wilkinson
2011,North Sea Texas,Gino,Bisexual,Mathias Vergels
2011,North Sea Texas,Pim,Gay,Jelle Florizoone
2014,Obvious Child,Joey,Gay,Gabe Liedman
2003,Party Monster,Keoki,Bisexual,Wilmer Valderrama
2003,Party Monster,Michael Alig,Bisexual,Macaulay Culkin
2003,Party Monster,James St. James,Gay,Seth Green
2003,Party Monster,Christina,Trans woman,Marilyn Manson
1992,Peter's Friends,Peter Morton,Gay,Stephen Fry
1993,Philadelphia,Andrew Beckett,Gay,Tom Hanks
1993,Philadelphia,Miguel Alvarez,Gay,Antonio Banderas
2007,Planet Terror,Dr. Dakota Block,Bisexual,Marley Shelton
2017,Power Rangers,Trini Kwan,Lesbian/Bisexual,Becky G
2009,Prayers for Bobby,Bobby Griffith,Gay,Ryan Kelley
2017,Princess Cyd,Cyd,Bisexual,Jessie Pinnick
2017,Princess Cyd,Katie,Lesbian/queer,Malic White
1994,Pulp Fiction,Zed,Gay,Peter Greene
1982,Querelle,Georges Querelle,Bisexual,Brad Davis
1940,Rebecca,Danvers,Lesbian,Judith Anderson
1955,Rebel Without a Cause,"John ""Plato"" Crawford",Gay,Sal Mineo
2007,Reign Over Me,Charlie Fineman,Bisexual,Adam Sandler
2005,Rent,Maureen Johnson,Bisexual,Idina Menzel
2005,Rent,Angel Dumott Schunard,Gay,Wilson Jermaine Heredia
2005,Rent,"Thomas B. ""Tom"" Collins",Gay,Jesse L. Martin
2005,Rent,Joanne Jefferson,Lesbian,Tracie Thoms
1984,Revenge of the Nerds,Lamar,Gay,Larry B. Scott
2008,RocknRolla,Handsome Bob,Gay,Tom Hardy
1948,Rope,Brandon Shaw,Gay,John Dall
1948,Rope,Phillip Morgan,Gay,Farley Granger
2017,Rough Night,Blair,Bisexual,ZoÔ Kravitz
2017,Rough Night,Frankie,Lesbian,Ilana Glazer
2005,Saved!,Dean,Gay,Chad Faust
2005,Saved!,Mitch,Gay,Kett Turton
2004,Saving Face,Willhelmina Pang,Lesbian,Michelle Krusiec
2000,Scary Movie,Bobby Prinze,Gay,Jon Abrahams
2001,Scary Movie 2,Ray Wilkins,Bisexual,Shawn Wayans
2010,Scott Pilgrim vs. the World,Ramona Flowers,Bisexual,Mary Elizabeth Winstead
2010,Scott Pilgrim vs. the World,Stephen Stills,Gay,Mark Webber
2010,Scott Pilgrim vs. the World,Wallace Wells,Gay,Kieran Culkin
2010,Scott Pilgrim vs. the World,"Roxanne ""Roxy"" Richter",Lesbian,Mae Whitman
2004,Seed of Chucky,Glen / Glenda Ray,Genderqueer,Billy Boyd
2010,Sex and the City 2,Erin,Lesbian,Alice Eve
2009,Shank,Jonno,Bisexual,Tom Bott
2009,Shank,Cal,Gay,Wayne Virgo
2009,Shank,Olivier,Gay,Marc Laurent
2009,Shank,Scott,Gay,Garry Summers
2007,Shelter,Zach,Bisexual,Trevor Wright
2007,Shelter,Shaun,Gay,Brad Rowe
2006,Shortbus,James,Gay,Paul Dawson
2006,Shortbus,Jamie,Gay,PJ DeBoy
1998,Show Me Love,Agnes Ahlberg,Lesbian,Rebecka Liljeberg
1995,Showgirls,Cristal Connors,Bisexual,Gina Gershon
1995,Showgirls,Nomi Malone,Bisexual,Elizabeth Berkley
2005,Sin City,Lucille,Lesbian,Carla Gugino
2012,Skyfall,Raoul Silva,Bisexual,Javier Bardem
1984,Sleepaway Camp,Angela Baker,Trans woman,Felissa Rose
1996,Sling Blade,Vaughn Cunningham,Gay,John Ritter
1991,Soapdish,Montana Moorehead,Trans woman,Cathy Moriarty
2003,Soldier's Girl,Calpernia Addams,Trans woman,Lee Pace
2003,SpiderBabe,Patricia Porker,Bisexual,Erin Brown
2016,Star Trek Beyond,Hikaru Sulu,Gay,John Cho
1980,Stir Crazy,Rory Schultebrand,Gay,Georg Stanford Brown
2016,Suicide Squad,Harley Quinn,Bisexual,Margot Robbie
1999,Summer of Sam,Ritchie,Bisexual,Adrien Brody
2008,Sunshine Cleaning,Lynn,Lesbian,Mary Lynn Rajskub
1976,Swashbuckler,Lord Durant,Gay,Peter Boyle
2015,Tangerine,Alexandra,Trans woman,Mya Taylor
2015,Tangerine,Sin-Dee Rella,Trans woman,Kitana Kiki Rodriguez
2006,The Architect,Martin Waters,Gay,Sebastian Stan
2006,The Architect,Shawn,Gay,Paul James
2011,The Best Exotic Marigold Hotel,Graham Dashwood,Gay,Tom Wilkinson
1996,The Birdcage,Agador,Gay,Hank Azaria
1996,The Birdcage,Albert Goldman,Gay,Nathan Lane
1996,The Birdcage,Armand Goldman,Gay,Robin Williams
2013,The Bling Ring,Marc Hall,Gay,Israel Broussard
1999,The Boondock Saints,Paul Smecker,Gay,Willem Dafoe
2006,The Bubble,Ashraf,Gay,Yousef 'Joe' Sweid
2006,The Bubble,Noam,Gay,Ohad Knoller
2006,The Bubble,Yali,Gay,Alon Friedman
1961,The Children's Hour,Martha Dobie,Lesbian,Shirley MacLaine
1992,The Crying Game,Dil,Trans woman,Jaye Davidson
1969,The Damned,Konstantin von Essenbeck,Gay,Reinhard Kolldehoff
2015,The Danish Girl,Lili Elbe,Trans woman,Eddie Redmayne
1995,The Doom Generation,Jordan White,Bisexual,James Duval
1995,The Doom Generation,"Xavier ""X"" Red",Bisexual,Johnathon Schaech
1982,The Emperor Caligula: The Untold Story,Fagio,Gay,
2011,The Girl with the Dragon Tattoo,"Miriam ""Mimi"" Wu",Lesbian/Bisexual,Elodie Yung
2011,The Girl with the Dragon Tattoo,Lisbeth Salander,Pansexual,Rooney Mara
2009,The Hangover,Leslie Chow,Bisexual,Ken Jeong
2011,The Hangover Part II,Leslie Chow,Bisexual,Ken Jeong
2011,The Hangover Part II,"Kimberly ""Kimmy""",Trans woman,Yasmin Lee
2013,The Hangover Part III,Leslie Chow,Bisexual,Ken Jeong
2015,The Heroes of Evil,Aritz,Gay,Jorge Clemente
2006,The History Boys,Stuart Dakin,Bisexual,Dominic Cooper
2006,The History Boys,David Posner,Gay,Samuel Barnett
2006,The History Boys,Douglas Hector,Gay,Richard Griffiths
2006,The History Boys,Tom Irwin,Gay,Stephen Campbell Moore
2002,The Hours,Clarissa Vaughan,Bisexual,Meryl Streep
2002,The Hours,Richard Brown,Gay,Ed Harris
2002,The Hours,Sally Lester,Lesbian,Allison Janney
2014,The Imitation Game,Alan Turing,Gay,Benedict Cumberbatch
2014,The Imitation Game,Christopher Morcom,Gay,Jack Bannon
1995,The Incredibly True Adventure of Two Girls in Love,Evie Roy,Lesbian,Nicole Ari Parker
1995,The Incredibly True Adventure of Two Girls in Love,Randy Dean,Lesbian,Laurel Holloman
2009,The Joneses,Mick Jones,Gay,Benjamin Hollingsworth
2010,The Kids Are All Right,Nic,Lesbian,Annette Bening
2010,The Kids Are All Right,Jules,Lesbian,Julianne Moore
2002,The Laramie Project,Matthew Shepard,Gay,
2010,The Last Exorcism,Logan,Gay,Logan Craig Reid
1971,The Last Picture Show,Coach Popper,Gay,Bill Thurman
2004,The Life Aquatic with Steve Zissou,Alistair Hennessey,Bisexual,Jeff Goldblum
1941,The Maltese Falcon,Joel Cairo,Gay,Peter Lorre
2001,The Man Who Wasn't There,Creighton Tolliver,Gay,Jon Polito
1968,The Mercenary,Ricciolo (Curly),Gay,Jack Palance
2018,The Miseducation of Cameron Post,Cameron Post,Lesbian,ChloÔ Grace Moretz
2013,The Mortal Instruments: City of Bones,Magnus Bane,Bisexual,Godfrey Gao
2013,The Mortal Instruments: City of Bones,Alec Lightwood,Gay,Kevin Zegers
2016,The Neon Demon,Ruby,Lesbian,Jena Malone
2014,The Normal Heart,"Alexander ""Ned"" Weeks",Gay,Mark Ruffalo
2014,The Normal Heart,Felix Turner,Gay,Matt Bomer
2014,The Normal Heart,Dr. Emma Brookner,Lesbian,Julia Roberts
1998,The Object of My Affection,George Hanson,Gay,Paul Rudd
2012,The Perks of Being a Wallflower,Brad,Gay,Johnny Simmons
2012,The Perks of Being a Wallflower,Patrick,Gay,Ezra Miller
1968,The Producers,Carmen Ghia,Gay,Andreas Voutsinas
1968,The Producers,Roger De Bris,Gay,Christopher Hewett
2005,The Producers,Carmen Ghia,Gay,Roger Bart
2005,The Producers,Roger De Bris,Gay,Gary Beach
