"id","title","input","release_date","mpaa_rating","imdb_rating","num_votes","genre_drama","genre_comedy","genre_action","genre_romance","genre_adventure","genre_thriller"
"/title/tt0033870/","The Maltese Falcon","lgbt","1941-10-18","NOT RATED","8.1",130923,0,0,0,0,0,1
"/title/tt0037000/","Lady in the Dark","lgbt","1944-02-10","APPROVED","6.2",335,1,0,0,1,0,0
"/title/tt0040746/","Rope","lgbt","1948-09-25","PG","8.0",107640,1,0,0,0,0,1
"/title/tt0045826/","Glen or Glenda","lgbt","1953-04","PG","4.2",7159,1,0,0,0,0,0
"/title/tt0048545/","Rebel Without a Cause","lgbt","1955-10-29","PG-13","7.8",71407,1,0,0,0,0,0
"/title/tt0054743/","The Children's Hour","lgbt","1961-12-19","NOT RATED","7.8",11960,1,0,0,1,0,0
"/title/tt0055597/","Victim","lgbt","1961-10-11","NOT RATED","7.8",4051,1,0,0,0,0,0
"/title/tt0058150/","Goldfinger","lgbt","1965-01-09","PG","7.7",151124,0,0,1,0,1,1
"/title/tt0063293/","The Mercenary","lgbt","1969-04-22","PG-13","7.3",3125,0,1,0,0,0,0
"/title/tt0063585/","The Sergeant","lgbt","1968-12-25","R","6.3",420,1,0,0,1,0,0
"/title/tt0064665/","Midnight Cowboy","lgbt","1969-06-16","R","7.9",84868,1,0,0,0,0,0
"/title/tt0064118/","The Damned","lgbt","1969-12-18","R","7.6",6264,1,0,0,0,0,0
"/title/tt0065466/","Beyond the Valley of the Dolls","lgbt","1970-06-17","NC-17","6.2",8544,1,1,0,0,0,0
"/title/tt0066115/","Myra Breckinridge","lgbt","1970-06-24","R","4.3",2439,0,1,0,0,0,0
"/title/tt0066518/","The Vampire Lovers","lgbt","1970-10-22","R","6.6",4363,0,0,0,0,0,1
"/title/tt0067690/","Daughters of Darkness","lgbt","1971-10-22","R","6.7",3442,0,0,0,0,0,1
"/title/tt0067328/","The Last Picture Show","lgbt","1971-10-22","R","8.1",35215,1,0,0,0,0,0
"/title/tt0068327/","Cabaret","lgbt","1972-02-13","PG","7.8",40702,1,0,0,0,0,0
"/title/tt0072890/","Dog Day Afternoon","lgbt","1975-12-25","R","8.0",206972,1,0,0,0,0,1
"/title/tt0073629/","The Rocky Horror Picture Show","lgbt","1975-08-31","R","7.4",115561,0,1,0,0,0,0
"/title/tt0075294/","Swashbuckler","lgbt","1976-07-29","PG","6.0",1297,0,1,1,0,1,0
"/title/tt0077928/","Midnight Express","lgbt","1978-10-06","R","7.6",61142,1,0,0,0,0,1
"/title/tt0079470/","Life of Brian","lgbt","1979-08-17","R","8.1",308862,0,1,0,0,0,0
"/title/tt0081562/","Stir Crazy","lgbt","1980-12-12","R","6.8",20825,0,1,0,0,0,1
"/title/tt0084565/","Querelle","lgbt","1982-09-08","R","6.9",4773,1,0,0,0,0,0
"/title/tt0084917/","The World According to Garp","lgbt","1982-08-13","R","7.2",22370,1,1,0,0,0,0
"/title/tt0088000/","Revenge of the Nerds","lgbt","1984-08-10","R","6.6",43347,0,1,0,0,0,0
"/title/tt0089424/","Kiss of the Spider Woman","lgbt","1985-07-26","R","7.4",12165,1,0,0,0,0,0
"/title/tt0091578/","My Beautiful Laundrette","lgbt","1986-04-04","R","6.9",11967,1,1,0,1,0,0
"/title/tt0090756/","Blue Velvet","lgbt","1986-10-23","R","7.8",151682,1,0,0,0,0,1
"/title/tt0093407/","Less Than Zero","lgbt","1987-11-06","R","6.4",15954,1,0,0,0,0,1
"/title/tt0093493/","Mannequin","lgbt","1987-02-13","PG","5.8",25213,0,1,0,1,1,0
"/title/tt0093512/","Maurice","lgbt","1987-09-18","R","7.7",12553,1,0,0,1,0,0
"/title/tt0100150/","Miller's Crossing","lgbt","1990-10-05","R","7.8",112764,1,0,0,0,0,1
"/title/tt0101921/","Fried Green Tomatoes","lgbt","1992-01-24","PG-13","7.7",57648,1,0,0,0,0,0
"/title/tt0102138/","JFK","lgbt","1991-12-20","R","8.0",124807,1,0,0,0,0,1
"/title/tt0102494/","My Own Private Idaho","lgbt","1991-07-20","R","7.1",41460,1,0,0,0,0,0
"/title/tt0102951/","Soapdish","lgbt","1991-05-31","PG-13","6.5",12595,0,1,0,1,0,0
"/title/tt0102926/","The Silence of the Lambs","lgbt","1991-02-14","R","8.6",1034154,1,0,0,0,0,1
"/title/tt0103772/","Basic Instinct","lgbt","1992-03-20","R","6.9",147918,1,0,0,0,0,1
"/title/tt0105130/","Peter's Friends","lgbt","1992-12-25","R","7.0",9255,1,1,0,1,0,0
"/title/tt0104036/","The Crying Game","lgbt","1993-02-19","R","7.3",45115,1,0,0,1,0,1
